date,ASIANPAINT.NS,AXISBANK.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2019-12-16,-17,0,0,0,100,-10,0,0,0,0,34,0,0,0,0,0,0,100,-7,0,-92,0,0,0,0,0,0,-77,0,0,0,0,2,0,100,0,-74,-38,0,0,100,0
2019-12-17,0,0,10,0,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,16,0,3,0,0,100,0,-2,-29,-44,0,-26,0,0,0,-80,0
2019-12-18,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,-100,-52,0,-5,0,0,0,0,-16,0,7,0,0,-58,0,0,0,0,0,0,0,0,0,100,-61
2019-12-19,100,0,-21,32,0,0,-54,0,0,0,0,0,0,0,0,0,0,0,2,1,-100,0,0,0,0,100,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-20,-99,0,0,0,0,0,95,0,0,0,-37,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,-42,0,0,0,-64,0,0,0,0,0,2,0
2019-12-23,0,0,0,0,0,0,69,0,0,0,-99,0,0,0,0,0,0,100,0,0,-100,0,0,0,0,-61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
2019-12-24,-59,0,0,0,-83,1,0,0,0,0,0,0,0,0,0,0,0,-92,-43,0,0,100,0,53,0,0,0,0,-1,100,0,0,0,1,0,0,0,0,0,0,-14,0
2019-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,12,0,-19,0,0,0,0,-22,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
2019-12-27,0,0,0,88,0,100,-63,0,0,0,-33,0,0,0,0,0,-1,0,0,0,-21,-100,0,0,0,-17,0,0,0,-100,0,0,7,0,100,0,0,0,0,0,3,0
2019-12-30,0,0,0,-85,0,0,76,0,0,0,-20,100,0,0,0,0,0,0,-7,0,0,0,0,0,100,0,0,0,3,0,0,0,-7,0,100,0,0,0,0,0,-31,0
2019-12-31,100,0,0,-35,0,-47,-100,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,-53,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,93,0,0
2020-01-01,-100,0,0,0,0,-54,-59,0,0,23,100,-70,0,0,100,0,0,100,0,0,0,0,0,0,-19,1,0,0,-3,0,0,0,0,0,-100,0,0,3,0,-15,-83,0
2020-01-02,0,0,0,0,0,0,-18,0,0,0,52,-6,0,0,-22,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-4,0,0,-3,0,0,0,0
